id,Q2: How many ingredients would you expect this food item to contain?
716549,6.0
715742,5.0
727333,5.0
606874,6.0
505318,3.0
605771,6.0
606929,3.0
609789,4.0
644623,5.0
626792,9.0
714863,10.0
602805,6.0
602526,4.0
497421,4.0
389328,8.0
289931,5.0
620148,7.0
387155,6.0
516975,18.0
630825,6.0
614043,10.0
521125,5.0
627780,5.0
492744,10.0
618747,5.0
607815,6.0
601609,10.0
602657,5.0
616449,5.0
501893,5.0
507448,5.0
606556,3.0
724326,11.0
616945,5.0
630962,4.0
715814,6.0
502799,8.0
605278,4.0
388888,8.0
519548,5.0
405521,3.0
607410,8.0
715795,8.0
625326,5.0
627220,5.0
634964,5.0
722500,10.0
602824,5.0
618355,5.0
611097,7.0
634328,5.0
607160,10.0
728522,6.0
718570,5.0
714598,5.0
601950,4.0
612478,3.0
501416,7.0
629710,8.0
502610,3.0
603476,8.0
600957,10.0
713423,15.0
722431,5.0
633234,6.0
148179,5.0
715845,9.0
632153,10.0
606552,6.0
738409,4.0
612096,6.0
743537,5.0
632896,10.0
605207,3.0
617542,3.0
719554,3.0
627427,4.0
411315,7.0
631507,8.0
627798,8.0
712093,10.0
627488,10.0
626493,5.0
601363,7.0
712898,8.0
603398,10.0
631012,7.0
601848,6.0
612131,5.0
408630,5.0
632091,5.0
601122,7.0
602871,5.0
520828,9.0
514199,7.0
389697,6.0
714430,10.0
612567,6.0
744468,3.0
502722,6.0
519681,10.0
631125,5.0
606119,5.0
627252,8.0
616568,3.0
603838,5.0
719735,3.0
608062,10.0
608704,3.0
520383,5.0
603793,4.0
603933,4.0
605519,6.0
524803,4.0
629712,5.0
627505,7.0
526131,5.0
607065,5.0
500077,8.0
633350,7.0
601945,7.0
629878,3.0
712766,7.0
603664,8.0
840827,6.0
604897,15.0
525422,3.0
602560,3.0
738379,8.0
622023,3.0
604770,8.0
608318,5.0
626757,5.0
745297,5.0
627599,6.0
520037,4.0
632189,4.0
627636,3.0
295428,5.0
228777,5.0
609278,6.0
614089,4.0
607517,7.0
714607,6.0
716650,7.0
497695,4.0
496858,7.0
608688,3.0
604386,6.0
628559,5.0
715152,7.0
604110,4.0
629010,6.0
605254,5.0
628990,5.0
625295,6.0
603415,6.0
635533,6.0
630389,3.0
714901,5.0
629792,7.0
629025,4.0
524441,6.0
389109,8.0
631216,5.0
738875,3.0
634669,4.0
409940,6.0
399605,5.0
721831,8.0
835223,5.0
712938,5.0
395712,5.0
603388,7.0
617774,3.0
289440,5.0
714503,3.0
714893,5.0
601094,7.0
618150,5.0
607944,5.0
629844,4.0
626482,5.0
609257,5.0
717921,8.0
181851,5.0
629041,3.0
604062,5.0
716749,4.0
633143,7.0
743828,10.0
520861,4.0
517019,5.0
626779,5.0
611716,3.0
193195,5.0
627530,7.0
626479,3.0
624540,3.0
625315,5.0
601941,4.0
723968,21.0
715806,10.0
720045,8.0
713585,6.0
611188,4.0
606726,10.0
629142,5.0
634825,7.0
613409,8.0
633224,4.0
738850,6.0
500470,6.0
13183,6.0
627169,15.0
229041,5.0
496344,8.0
409723,11.0
630949,7.0
413014,7.0
310438,4.0
627430,4.0
526510,4.0
390823,4.0
717116,6.0
712143,6.0
612538,6.0
627539,4.0
603812,5.0
740568,10.0
712702,7.0
519638,7.0
627800,3.0
406863,5.0
726962,10.0
628077,10.0
601693,6.0
517096,3.0
606821,5.0
455047,4.0
625576,10.0
716549,8.0
715742,5.0
727333,3.0
606874,10.0
505318,7.0
605771,5.0
606929,5.0
609789,4.0
644623,5.0
626792,13.0
714863,10.0
602805,10.0
602526,9.0
497421,3.0
389328,5.0
289931,6.0
620148,5.0
387155,10.0
516975,12.0
630825,4.0
614043,6.0
521125,8.0
627780,5.0
492744,8.0
618747,5.0
607815,8.0
601609,8.0
602657,10.0
616449,5.0
501893,5.0
507448,5.0
606556,3.0
724326,7.0
616945,5.0
630962,5.0
715814,5.0
502799,6.0
605278,4.0
388888,10.0
519548,8.0
405521,3.0
607410,5.0
715795,6.0
625326,6.0
627220,8.0
634964,3.0
722500,4.0
602824,5.0
618355,8.0
611097,6.0
634328,10.0
607160,5.0
728522,10.0
718570,10.0
714598,7.0
601950,4.0
612478,8.0
501416,5.0
629710,15.0
502610,5.0
603476,9.0
600957,11.0
713423,8.0
722431,7.0
633234,5.0
148179,10.0
715845,10.0
632153,6.0
606552,6.0
738409,8.0
612096,7.0
743537,5.0
632896,5.0
605207,5.0
617542,5.0
719554,3.0
627427,6.0
411315,5.0
631507,7.0
627798,10.0
712093,7.0
627488,12.0
626493,7.0
601363,11.0
712898,9.0
603398,6.0
631012,11.0
601848,5.0
612131,7.0
408630,3.0
632091,8.0
601122,12.0
602871,3.0
520828,4.0
514199,6.0
389697,10.0
714430,10.0
612567,4.0
744468,5.0
502722,7.0
519681,20.0
631125,8.0
606119,5.0
627252,15.0
616568,5.0
603838,10.0
719735,3.0
608062,7.0
608704,7.0
520383,5.0
603793,10.0
603933,8.0
605519,8.0
524803,4.0
629712,6.0
627505,10.0
526131,5.0
607065,7.0
500077,15.0
633350,12.0
601945,6.0
629878,5.0
712766,10.0
603664,8.0
840827,4.0
604897,6.0
525422,6.0
602560,7.0
738379,9.0
622023,8.0
604770,9.0
608318,8.0
626757,5.0
745297,6.0
627599,7.0
520037,7.0
632189,6.0
627636,4.0
295428,5.0
228777,10.0
609278,8.0
614089,6.0
607517,6.0
714607,5.0
716650,10.0
497695,5.0
496858,8.0
608688,5.0
604386,4.0
628559,8.0
715152,9.0
604110,4.0
629010,10.0
605254,10.0
628990,6.0
625295,7.0
603415,10.0
635533,5.0
630389,7.0
714901,5.0
629792,7.0
629025,7.0
524441,7.0
389109,5.0
